Unnamed: 0,Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Female,Gender_Male,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,ProdTaken
3850,55.0,1,17.0,4,4.0,5.0,8.0,1,1,0,1.0,23118.0,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,0
2463,39.0,1,9.0,3,4.0,3.0,7.0,1,4,0,2.0,22622.0,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,0
878,42.0,2,8.0,3,1.0,5.0,1.0,0,2,0,2.0,21272.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,0
2482,37.0,1,12.0,3,5.0,5.0,2.0,1,2,1,1.0,98678.0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0
3074,23.0,1,7.0,3,5.0,3.0,8.0,0,2,1,1.0,23453.0,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,0
3002,33.0,1,31.0,4,4.0,3.0,3.0,0,4,1,1.0,23987.0,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,0
1261,38.0,1,24.0,2,5.0,3.0,4.0,1,5,0,1.0,20811.0,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,0
3187,60.0,1,9.0,4,5.0,3.0,5.0,1,5,0,3.0,32404.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0
2230,53.0,3,8.0,2,4.0,4.0,3.0,0,1,1,0.0,22525.0,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,0
3643,37.0,1,33.0,4,4.0,3.0,8.0,0,3,1,1.0,24025.0,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,0
1897,60.0,3,34.0,3,4.0,5.0,5.0,0,1,1,0.0,25266.0,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,0
4738,43.0,1,36.0,3,6.0,3.0,6.0,0,3,1,2.0,22950.0,True,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,0
1480,35.0,1,22.0,2,1.0,4.0,1.0,0,4,1,1.0,17426.0,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,0
4557,43.0,1,10.0,4,2.0,3.0,4.0,1,5,1,1.0,23909.0,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,0
994,52.0,1,34.0,2,1.0,3.0,3.0,1,4,0,0.0,28247.0,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,0
3104,59.0,1,9.0,3,5.0,3.0,2.0,1,2,0,1.0,21058.0,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,1
9,36.0,1,33.0,3,3.0,3.0,7.0,0,3,1,0.0,20237.0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,0
3825,29.0,1,23.0,3,4.0,3.0,3.0,0,3,0,1.0,20822.0,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,0
4425,37.0,1,16.0,3,5.0,4.0,4.0,1,4,0,2.0,27525.0,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,0
198,38.0,1,8.0,2,3.0,3.0,1.0,0,2,0,1.0,21553.0,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,0
1012,31.0,3,6.0,2,5.0,3.0,2.0,0,3,1,1.0,16359.0,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,1
3069,46.0,3,16.0,4,4.0,5.0,6.0,1,2,1,1.0,29439.0,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,0
4873,41.0,3,14.0,3,4.0,4.0,3.0,0,5,0,1.0,23339.0,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,1
2443,35.0,1,13.0,3,3.0,4.0,2.0,1,3,1,1.0,20363.0,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,1
2016,29.0,3,16.0,3,3.0,3.0,2.0,0,4,1,0.0,17642.0,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,0
1561,51.0,3,27.0,3,3.0,3.0,1.0,1,5,0,2.0,20441.0,True,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,0
304,39.0,1,6.0,2,2.0,3.0,1.0,0,3,1,0.0,24613.0,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,0
628,37.0,3,22.0,3,4.0,3.0,5.0,0,5,1,2.0,21334.0,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,0
710,33.0,3,23.0,2,3.0,3.0,2.0,0,3,1,1.0,32444.0,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,0
4045,51.0,3,19.0,4,4.0,3.0,6.0,0,5,1,3.0,27886.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,0
3738,42.0,1,12.0,3,2.0,4.0,5.0,0,5,1,1.0,25548.0,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,0
2763,33.0,3,15.0,4,5.0,4.0,3.0,1,2,1,1.0,23906.0,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0
3267,30.0,1,17.0,4,4.0,4.0,2.0,0,5,1,1.0,21969.0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0
2779,41.0,3,7.0,3,6.0,3.0,4.0,1,3,1,1.0,26135.0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,0
3466,38.0,1,12.0,3,2.0,3.0,2.0,0,5,1,1.0,22178.0,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,0
3418,28.0,3,9.0,3,6.0,3.0,5.0,0,4,1,2.0,23749.0,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,0
3668,27.0,1,24.0,4,6.0,3.0,3.0,0,3,0,3.0,20983.0,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,0
1788,27.0,1,11.0,2,3.0,4.0,2.0,1,3,0,1.0,17478.0,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,0
4430,24.0,1,11.0,3,2.0,5.0,4.0,0,4,0,2.0,21497.0,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,0
2076,34.0,1,22.0,3,4.0,3.0,2.0,0,5,1,2.0,17553.0,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,0
4856,37.0,3,17.0,3,5.0,5.0,2.0,0,5,0,1.0,25772.0,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,1
2317,34.0,1,7.0,3,4.0,5.0,1.0,0,1,0,0.0,20343.0,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,0
216,30.0,3,32.0,2,4.0,5.0,6.0,0,2,0,1.0,21696.0,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,1
1640,27.0,1,23.0,2,3.0,4.0,1.0,1,4,0,0.0,18058.0,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,0
3290,36.0,1,9.0,3,5.0,4.0,4.0,0,4,1,1.0,28952.0,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,0
1713,40.0,1,30.0,3,3.0,3.0,2.0,0,3,1,1.0,18319.0,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,0
2908,38.0,1,7.0,3,4.0,3.0,6.0,0,5,1,2.0,26169.0,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,0
3770,33.0,3,9.0,3,5.0,4.0,2.0,1,1,1,1.0,28585.0,True,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,1
4251,30.0,1,16.0,2,5.0,3.0,2.0,0,1,1,1.0,22661.0,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,0
2169,52.0,1,6.0,3,3.0,3.0,3.0,0,1,1,2.0,32099.0,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,0
